ID,RougeMesuré,VertMesuré,BleuMesuré,Brightness,L21S_VDD2L_MEM_ENERGY_AVG_UWS,UFS(Disk)_ENERGY_AVG_UWS,S12S_VDD_AUR_ENERGY_AVG_UWS,Camera_ENERGY_AVG_UWS,GPU3D_ENERGY_AVG_UWS,Sensor_ENERGY_AVG_UWS,Memory_ENERGY_AVG_UWS,Memory_ENERGY_AVG_UWS.1,Display_ENERGY_AVG_UWS,GPS_ENERGY_AVG_UWS,GPU_ENERGY_AVG_UWS,WLANBT_ENERGY_AVG_UWS,L22M_DISP_ENERGY_AVG_UWS,S6M_LLDO1_ENERGY_AVG_UWS,S8M_LLDO2_ENERGY_AVG_UWS,S9M_VDD_CPUCL0_M_ENERGY_AVG_UWS,CPU_BIG_ENERGY_AVG_UWS,CPU_LITTLE_ENERGY_AVG_UWS,CPU_MID_ENERGY_AVG_UWS,INFRASTRUCTURE_ENERGY_AVG_UWS,CELLULAR_ENERGY_AVG_UWS,CELLULAR_ENERGY_AVG_UWS.1,INFRASTRUCTURE_ENERGY_AVG_UWS.1,TPU_ENERGY_AVG_UWS,CPU_LITTLE_FREQ_KHz,CPU_MID_FREQ_KHz,CPU_BIG_FREQ_KHz,GPU0_FREQ,GPU_1FREQ,GPU_MEM_AVG,BATTERY_DISCHARGE_TOTAL_UA,BATTERY_DISCHARGE_RATE_UAS,TOTAL_DATA_WIFI_BYTES,AVG_SOC_TEMP,DIFF_SOC_TEMP,BATTERY__PERCENT,L21S_VDD2L_MEM_ENERGY_UW,UFS(Disk)_ENERGY_UW,S12S_VDD_AUR_ENERGY_UW,Camera_ENERGY_UW,GPU3D_ENERGY_UW,Sensor_ENERGY_UW,Memory_ENERGY_UW,Memory_ENERGY_UW.1,Display_ENERGY_UW,GPS_ENERGY_UW,GPU_ENERGY_UW,WLANBT_ENERGY_UW,L22M_DISP_ENERGY_UW,S6M_LLDO1_ENERGY_UW,S8M_LLDO2_ENERGY_UW,S9M_VDD_CPUCL0_M_ENERGY_UW,CPU_BIG_ENERGY_UW,CPU_LITTLE_ENERGY_UW,CPU_MID_ENERGY_UW,INFRASTRUCTURE_ENERGY_UW,CELLULAR_ENERGY_UW,CELLULAR_ENERGY_UW.1,INFRASTRUCTURE_ENERGY_UW.1,TPU_ENERGY_UW,C_ID,C_PL,M_ID,M_PL
0,32,40,188,48,2783.048711394209,31526.12584335582,5889.448325860119,22975.697657461344,88081.6031597033,13520.382625822403,34844.07917696853,242926.5201944433,282138.0436072581,544.9454050203243,365543.9905795583,142200.00687256423,50641.77433683946,183131.11276872145,37462.47263127017,27255.819461090392,2000847.1326740144,551461.7509449776,1974581.7726103168,362491.7709592256,8126.588140636131,0.0,61172.3714704773,0,1213324,4640709,2867752,886019,871426,563507200,-14000.0,1806387.4,6204451,33375.0,5898,100.0,83833.0,932911.0,178375.0,701404.0,2636822.0,408574.0,1046781.0,7260958.0,8465616.0,16421.0,10986629.0,4278647.0,1517434.0,5460745.0,1132316.0,825403.0,58376056.0,16562913.0,59313522.0,10845836.0,239115.0,0.0,1851440.0,0.0,0.0,52.46266666666668,0.0,5005670.773333333
1,160,213,87,100,2767.786100451948,32091.852110514195,6000.364739490065,25655.310386288053,77808.7871066769,14502.10533810864,32790.07795685171,207156.4820926068,503484.74215912,557.3555214462351,322674.63952417497,199879.4376055257,50905.34057211067,153763.42409515282,36513.412976936525,22066.01816941638,1705200.5196060878,364721.3878330562,354238.0395020676,312114.4836679882,8307.787995054781,0.0,54768.61226925864,0,1204965,1041026,2218509,828774,800764,528617472,-10000.0,1284494.7692307692,1638739,39229.16666666666,1113,100.0,82679.0,938591.0,179432.0,767428.0,2326772.0,429357.0,979581.0,6223311.0,15004447.0,16642.0,9621018.0,5965268.0,1518159.0,4591616.0,1090319.0,660431.0,51175472.0,10891415.0,10365546.0,9320314.0,235178.0,0.0,1638069.0,0.0,15.606666666666667,33.55393333333335,325134.9066666667,4862364.0
10,108,106,170,53,2226.16586059744,31407.532021495183,6004.98490595859,28009.055887466413,36974.54722617354,12822.121060534218,20416.055681997783,197869.2192982456,318065.2675517623,535.9262683736367,120205.6123281176,226552.5694800063,54742.96286052944,156263.92575266692,35841.37009877519,26940.740134334257,331938.4161517187,590003.2192018966,480456.62860529433,159739.09449229552,6784.809150533385,0.0,41723.28625839589,0,1782062,err,1127859,458839,346411,487063552,-8000.0,874747.5,4348794,45214.72727272727,454,95.0,68285.0,961715.0,184352.0,859996.0,1129503.0,393521.0,633748.0,6189526.0,9746209.0,16439.0,3679036.0,6944957.0,1679953.0,4818062.0,1099550.0,837726.0,10228030.0,18371187.0,14994249.0,4993759.0,207746.0,0.0,1287701.0,0.0,55.38,74.02753333333335,356440.61333333334,5059740.693333333
100,64,153,126,47,2214.5541817295584,26874.45200048743,4725.634550550388,19281.478216012023,54013.981185263416,13037.145627360982,25746.94900686462,151055.44537958485,249485.7367724116,495.6080425687477,223697.5911856696,199064.0681181201,51639.44062373102,126286.87668318038,33558.6633964103,18827.45607081946,357546.0989604483,288168.09401445626,283930.2684804678,164695.2040038983,5558.934865589215,0.0,35604.1040526273,0,879048,1834368,1166866,632434,569019,559812608,-6000.0,837198.8148148148,1410435,43812.25,1534,48.0,66696.0,800729.0,142372.0,579865.0,1620846.0,391843.0,774032.0,4545686.0,7476178.0,14912.0,6674156.0,6016211.0,1550930.0,3795888.0,1010418.0,566713.0,10677068.0,8609418.0,8521901.0,4965149.0,166096.0,0.0,1071527.0,0.0,37.395973154362416,51.62033557046982,343740.75167785236,4782936.187919463
101,43,178,174,78,2008.9753539930412,29074.628456994906,4675.092272837608,22707.13560967716,44519.51776842786,12680.01854518974,11848.113941257385,112046.51881220164,510804.3446476252,482.6457318553281,158982.17161582652,196029.1165385549,54214.48957313373,121131.37492211208,32916.71185110257,18713.90456807607,334382.5258749748,215164.6504794659,91907.7519805786,117830.37790006067,5752.439134129071,0.0,35128.61253489783,0,942872,774262,1120153,591231,478118,509313024,-6000.0,659435.0,1487905,44653.6,-230,48.0,60392.0,867137.0,140411.0,681780.0,1336438.0,380713.0,356921.0,3352919.0,15346979.0,14487.0,4796721.0,5899097.0,1626473.0,3629401.0,988210.0,561117.0,9954305.0,6550389.0,2746639.0,3506544.0,166063.0,0.0,1052016.0,0.0,14.06,33.300533333333334,263364.2133333333,4712875.306666667
102,13,20,149,34,2090.487781311647,27430.82805265912,4772.55730101856,20017.353097950803,50956.074841982365,12904.92081806836,15161.238970973069,129366.61292322558,185334.7998228592,489.8969765288458,198897.11924795684,204457.0473610049,53661.24167471819,127043.53833333332,33008.89582125604,18712.860120772944,384469.2072866345,211278.3645410628,98504.59144927537,141636.75392914654,7180.410636070854,0.0,34087.54331723027,0,975263,787388,1282965,635697,542873,568750080,-6000.0,714867.4615384615,1797895,44162.333333333336,412,47.0,62811.0,816636.0,143433.0,600627.0,1529571.0,386512.0,454422.0,3897325.0,5572684.0,14725.0,5960929.0,6152362.0,1611387.0,3810017.0,990644.0,561374.0,11555047.0,6292367.0,2882149.0,4242804.0,205531.0,0.0,1018618.0,0.0,18.13422818791946,35.20275167785234,321450.3087248322,4693743.865771812
103,130,133,186,36,2221.1447708578144,27333.201968272617,4843.772605757932,19938.23205787309,54520.83823443008,13109.17473560517,32323.502232667448,226820.5294212691,275727.97261310223,491.01571680376026,214417.16183166864,198418.2481859577,49681.90115313992,158805.4157106133,35372.279566654426,27385.845934630925,381469.4335952993,677429.8659713551,563489.4950275432,222522.87446933528,5207.322813073815,0.0,45244.66494307749,0,1845969,err,1228127,629021,558347,604848128,-10000.0,1187219.4827586208,2884519,45142.42857142857,2040,47.0,74853.0,924306.0,164031.0,682180.0,1815290.0,444516.0,1100881.0,7790936.0,9412127.0,16571.0,7204922.0,6652628.0,1681569.0,5381097.0,1196110.0,935616.0,12634840.0,23333909.0,19256481.0,7456431.0,186088.0,0.0,1525293.0,0.0,61.24832214765101,74.70644295302012,454612.85906040267,4896752.563758389
104,19,217,158,17,2298.0393593039357,30438.633419023136,4983.0668064069605,20732.447023927227,54204.53651572079,13416.364516511769,25584.72237294839,149833.8637057544,182783.9327031837,508.1317777338343,217973.83754795333,195915.98415661455,52006.44942255972,136132.77841322575,35598.24663028002,20958.817228286665,348717.8078785002,335751.34859199496,405913.04932763806,170615.34541211833,4964.290444549913,0.0,39425.263526340765,0,1184569,2175646,1150105,616648,553038,534274048,-8000.0,828906.0,1098314,46217.5,239,46.0,70268.0,912154.0,152695.0,633875.0,1652791.0,411772.0,779777.0,4590936.0,5594239.0,15547.0,6649015.0,5953533.0,1591475.0,4167412.0,1088445.0,640290.0,10653022.0,10171598.0,12440712.0,5217119.0,146655.0,0.0,1210071.0,0.0,44.738255033557046,58.387382550335545,341600.6711409396,4712236.0
105,158,170,95,96,1970.1536635785928,29189.791815328077,4592.908506239951,22252.591577980245,43391.17289640916,12521.064428451116,12060.649689916549,111823.51400352192,417028.3587091341,470.6589388255111,158095.1761197458,220804.44955975804,52213.82451667241,117624.07887906284,32600.481436392176,18636.00062019065,319743.34132690175,222691.7927185024,109696.03094062248,110672.940967038,6045.6674859308605,0.0,35797.23388078557,0,1037772,851879,1121162,591323,477364,485781504,-6000.0,692036.7777777778,6623737,45424.28571428572,-311,46.0,63105.0,928248.0,147240.0,712787.0,1395555.0,401180.0,396747.0,3615434.0,13356569.0,15087.0,5034120.0,7073777.0,1677937.0,3789864.0,1045591.0,602609.0,10186387.0,7595093.0,3597560.0,3686214.0,194745.0,0.0,1147026.0,0.0,18.12,36.8179333333333,279296.74666666664,4741743.013333334
106,10,12,17,3,2017.2126626940567,31619.997224400187,4908.637282421201,25365.41377607025,35193.11272541947,13197.59302963776,19793.837274580525,195228.3097773248,97336.36468558884,488.881072604673,113336.59215932256,217899.90675866397,55410.42751185856,159319.75139754597,35490.845834803404,26598.075839899644,346193.3370575091,591001.6314869262,485732.39150887926,157781.0882668862,6743.448782782548,0.0,40453.808114783016,0,1720920,err,1153228,443182,331989,478539776,-8000.0,933046.4642857144,3200962,45146.833333333336,1034,45.0,61913.0,963705.0,150686.0,780147.0,1078741.0,405743.0,614254.0,6061598.0,2987004.0,14997.0,3482030.0,6598258.0,1702692.0,4922887.0,1091337.0,824605.0,10602652.0,18341299.0,15202987.0,4895922.0,198062.0,0.0,1248176.0,0.0,54.92,72.50939999999999,352435.2,4797286.64
107,130,109,140,31,2034.0241364925744,28602.52401134657,4730.018254630402,21351.7818705156,54117.46657767395,12705.775079259136,11832.728408142832,126491.02767395297,191669.13398131152,481.5553061905556,198215.61448356416,185850.4501752044,52090.53567763734,130633.68963417178,32698.32922037292,19171.368706461435,334478.6690109707,288482.74143411336,292418.95343094313,132149.07518458267,5113.754991031577,0.0,33577.21531723189,0,950715,1801043,1149111,680926,548649,500396032,-6000.0,732523.7692307692,1177956,45262.66666666666,95,45.0,61038.0,848003.0,141673.0,641245.0,1623084.0,380487.0,355114.0,3787308.0,5740413.0,14458.0,5995145.0,5605579.0,1561313.0,3917722.0,978549.0,575568.0,10061221.0,8706138.0,8728134.0,3965213.0,145308.0,0.0,1007698.0,0.0,37.718120805369125,53.005503355704676,286328.96644295304,4650292.375838926
