循环次数,Time,Voltage,剩余寿命(RUL)
1,2595.3,3.67,1112
2,7408.64,4.246,1111
3,7393.76,4.249,1110
4,7385.5,4.25,1109
6,65022.75,4.29,1107
7,3301.18,3.674,1106
8,5955.3,4.013,1105
9,5951.2,4.014,1104
10,5945.44,4.014,1103
11,435251.49,4.267,1102
12,3228.58,3.689,1101
13,6019.9,4.045,1100
14,6026.59,4.047,1099
15,6008.07,4.045,1098
16,423271.35,4.27,1097
17,2261.34,4.038,1096
18,2259.46,4.042,1095
19,2256.61,4.042,1094
20,2252.83,4.043,1093
21,2250.62,4.044,1092
22,2248.6,4.044,1091
23,2245.05,4.044,1090
24,2242.53,4.044,1089
25,2239.56,4.044,1088
26,2237.35,4.044,1087
27,2236.26,4.045,1086
28,2234.38,4.045,1085
29,2232.16,4.045,1084
30,2230.78,4.045,1083
31,2229.16,4.045,1082
32,2227.64,4.045,1081
33,2226.38,4.045,1080
34,2223.88,4.045,1079
35,2222.62,4.045,1078
36,2221.02,4.046,1077
37,2220.19,4.046,1076
38,2218.41,4.046,1075
39,2216.89,4.046,1074
40,2214.97,4.025,1073
41,2219.75,4.041,1072
42,2222.5,4.045,1071
43,2220.53,4.045,1070
44,2217.28,4.045,1069
45,2214.66,4.045,1068
46,2211.25,4.044,1067
47,2210.59,4.045,1066
48,2208.56,4.045,1065
49,2206.88,4.045,1064
50,2203.19,4.045,1063
51,2202.53,4.045,1062
52,2200.34,4.044,1061
53,2198.19,4.044,1060
54,2197.0,4.044,1059
55,2195.94,4.044,1058
56,2194.12,4.044,1057
57,2192.56,4.044,1056
58,2190.75,4.044,1055
59,2189.5,4.044,1054
60,2188.19,4.044,1053
61,2186.25,4.043,1052
62,2185.56,4.043,1051
63,2185.12,4.043,1050
64,2179.06,4.022,1049
65,206007.26,4.271,1048
66,2182.56,4.004,1047
67,2182.62,4.007,1046
68,2180.13,4.007,1045
69,2177.34,4.008,1044
70,2175.17,4.007,1043
71,2173.44,4.008,1042
72,2170.56,4.008,1041
73,2168.26,4.008,1040
74,2165.54,4.008,1039
75,2163.77,4.008,1038
76,2162.18,4.008,1037
77,2160.17,4.008,1036
78,2158.66,4.008,1035
79,2155.94,4.007,1034
80,2154.69,4.008,1033
81,2152.42,4.008,1032
82,2151.42,4.008,1031
83,2149.92,4.008,1030
84,2148.48,4.008,1029
85,2147.39,4.008,1028
86,2145.83,4.008,1027
87,2144.58,4.008,1026
88,2142.5,4.008,1025
89,2147.06,4.018,1024
90,2145.16,4.003,1023
91,2147.28,4.006,1022
92,2145.28,4.007,1021
93,2143.12,4.008,1020
94,2140.53,4.008,1019
95,2138.88,4.008,1018
96,2137.31,4.007,1017
97,2135.19,4.007,1016
98,2133.34,4.007,1015
99,2130.69,4.007,1014
100,2128.56,4.007,1013
101,2126.97,4.006,1012
102,2125.78,4.006,1011
103,2124.41,4.006,1010
104,2122.03,4.005,1009
105,2112.0,4.005,1008
106,2118.81,4.006,1007
107,2117.62,4.006,1006
108,2115.12,4.005,1005
109,2114.31,4.006,1004
110,2112.31,4.005,1003
111,2111.19,4.005,1002
112,2100.94,3.991,1001
113,2109.81,4.014,1000
115,2124.61,3.998,998
116,2124.16,3.999,997
117,2121.79,4.0,996
118,2119.97,4.001,995
119,2117.7,4.001,994
120,2114.24,4.001,993
121,2111.11,4.001,992
122,2107.84,4.001,991
123,2105.28,4.001,990
124,2102.91,4.001,989
125,2100.16,4.001,988
126,2098.37,4.001,987
127,2095.59,4.001,986
128,2093.19,4.001,985
129,2091.2,4.001,984
130,2089.0,4.001,983
131,2086.91,4.001,982
132,2084.55,4.001,981
133,2083.19,4.001,980
134,2081.8,4.001,979
135,2079.97,4.001,978
136,2078.72,4.001,977
137,2076.91,4.001,976
138,2078.66,4.01,975
139,2077.22,3.996,974
140,2080.69,3.999,973
141,2079.28,4.0,972
142,2076.56,4.0,971
143,2074.47,4.0,970
144,2071.62,4.0,969
145,2070.34,3.999,968
146,2069.03,4.0,967
147,2067.62,4.0,966
148,2065.16,3.999,965
149,2063.19,3.999,964
150,2060.94,3.999,963
151,2058.47,3.999,962
152,2056.81,3.998,961
153,2056.25,3.999,960
154,2054.41,3.998,959
155,2052.81,3.998,958
156,2051.94,3.998,957
157,2050.28,3.998,956
158,2049.09,3.998,955
159,2047.5,3.998,954
160,2045.5,3.997,953
