电池ID,测试序号,唯一ID,文件名,Capacity,Temperature
B0047,0,1,00001.csv,1.6743047446975208,4
B0047,4,5,00005.csv,1.5243662105099023,4
B0047,6,7,00007.csv,1.5080762969973425,4
B0047,8,9,00009.csv,1.4835577960067696,4
B0047,10,11,00011.csv,1.4671391666146525,4
B0047,12,13,00013.csv,1.448858156982267,4
B0047,16,17,00017.csv,1.4458534180949325,4
B0047,20,21,00021.csv,1.431118266178283,4
B0047,22,23,00023.csv,1.4192745516578533,4
B0047,24,25,00025.csv,1.3999974221808271,4
B0047,26,27,00027.csv,1.3885156686114437,4
B0047,28,29,00029.csv,1.3652234669528964,4
B0047,32,33,00033.csv,1.4060442272970963,4
B0047,36,37,00037.csv,1.4057541613525781,4
B0047,38,39,00039.csv,1.3867662881727878,4
B0047,40,41,00041.csv,1.3705053061420223,4
B0047,42,43,00043.csv,1.3497431114823601,4
B0047,44,45,00045.csv,1.3251533367939783,4
B0047,48,49,00049.csv,1.3111943869635805,4
B0047,50,51,00051.csv,0,4
B0047,52,53,00053.csv,1.3394234405932892,4
B0047,54,55,00055.csv,1.2849157142560723,4
B0047,56,57,00057.csv,1.281719159327807,4
B0047,60,61,00061.csv,1.2600051642942829,4
B0047,62,63,00063.csv,1.266070385993126,4
B0047,64,65,00065.csv,1.2413590294280803,4
B0047,66,67,00067.csv,1.2298873703485311,4
B0047,68,69,00069.csv,1.228088614506696,4
B0047,72,73,00073.csv,1.2139857189070042,4
B0047,74,75,00075.csv,1.2173435064564189,4
B0047,76,77,00077.csv,1.2073445944515917,4
B0047,78,79,00079.csv,1.18804049227045,4
B0047,80,81,00081.csv,1.186304749886542,4
B0047,84,85,00085.csv,1.2613935471028506,4
B0047,88,89,00089.csv,1.2648246158850653,4
B0047,90,91,00091.csv,1.2466494548982199,4
B0047,92,93,00093.csv,1.2333924152795082,4
B0047,94,95,00095.csv,1.2129250072037692,4
B0047,96,97,00097.csv,1.1999106597943647,4
B0047,100,101,00101.csv,1.1902559038393383,4
B0047,102,103,00103.csv,1.1892563795455853,4
B0047,104,105,00105.csv,1.167069685125939,4
B0047,106,107,00107.csv,1.1615348403090369,4
B0047,108,109,00109.csv,1.1555563844349988,4
B0047,112,113,00113.csv,1.1488524666097713,4
B0047,114,115,00115.csv,1.143572986788779,4
B0047,116,117,00117.csv,1.1418015379428537,4
B0047,118,119,00119.csv,1.136058647502255,4
B0047,120,121,00121.csv,1.1236364680969286,4
B0047,124,125,00125.csv,1.1320498900328944,4
B0047,126,127,00127.csv,1.1170101762158153,4
B0047,128,129,00129.csv,1.120043039721982,4
B0047,130,131,00131.csv,1.1059773445917063,4
B0047,132,133,00133.csv,0,4
B0047,136,137,00137.csv,1.1907902374762016,4
B0047,140,141,00141.csv,1.2012387088454022,4
B0047,142,143,00143.csv,1.1906909549024802,4
B0047,144,145,00145.csv,1.1764375730308343,4
B0047,146,147,00147.csv,1.1628110372792353,4
B0047,148,149,00149.csv,1.1516152840582585,4
B0047,152,153,00153.csv,1.1583673498348623,4
B0047,156,157,00157.csv,1.1692285288386206,4
B0047,158,159,00159.csv,1.1588148476218465,4
B0047,160,161,00161.csv,1.1439588147705457,4
B0047,162,163,00163.csv,1.1383941068159398,4
B0047,164,165,00165.csv,0,4
B0047,168,169,00169.csv,1.2213102850395667,4
B0047,172,173,00173.csv,1.2031062978889062,4
B0047,174,175,00175.csv,1.1897147112197684,4
B0047,176,177,00177.csv,1.177422568842014,4
B0047,178,179,00179.csv,1.158443027293818,4
B0047,180,181,00181.csv,1.1567087516841796,4
B0045,0,185,00185.csv,1.0819793880779518,4
B0045,4,189,00189.csv,0.927952404748273,4
B0045,6,191,00191.csv,0.885193608411576,4
B0045,8,193,00193.csv,0.8581010699478283,4
B0045,10,195,00195.csv,0.8409352213456689,4
B0045,12,197,00197.csv,0.8245471942901911,4
B0045,16,201,00201.csv,0.7935960418803983,4
B0045,20,205,00205.csv,0.8183676087159205,4
B0045,22,207,00207.csv,0.7977644276409412,4
B0045,24,209,00209.csv,0.7993777411831636,4
B0045,26,211,00211.csv,0.7783107440628891,4
B0045,28,213,00213.csv,0.7803738231239117,4
B0045,32,217,00217.csv,0.7713058245640294,4
